sep=,
"域名","访问次数"
182.140.146.150,5
_,5
ahwp.bg-online.com.cn,224
bg-online.cn,14
bg-online.com.cn,75
bigzkx.bg-online.com.cn,4
bjby.bg-online.com.cn,5
bjbysy.bg-online.com.cn,2323
bjdddl.bg-online.com.cn,7
bjhat.bg-online.com.cn,11430
bjjmt.bg-online.com.cn,4699
bjlxm.bg-online.com.cn,1176
bjmxjj.bg-online.com.cn,3398
bjpdg.bg-online.com.cn,3
bjpy.bg-online.com.cn,3462
bjqcz.bg-online.com.cn,2753
bjqw.bg-online.com.cn,9871
bjrdct.bg-online.com.cn,12210
bjrw.bg-online.com.cn,1
bjssty-jst.bg-online.com.cn,776
bjtj-jst.bg-online.com.cn,1
bjtsy.bg-online.com.cn,199
bjwttx.bg-online.com.cn,11
bjwxh.bg-online.com.cn,3
bycm.bg-online.com.cn,16911
cdbk.bg-online.com.cn,10567
cfzhy.bg-online.com.cn,5205
cqlj.bg-online.com.cn,1041
cqwzsy.bg-online.com.cn,2396
cqxjd.bg-online.com.cn,444
csqp.bg-online.com.cn,4
czxc.bg-online.com.cn,12436
czyb.bg-online.com.cn,6617
dcc-platform.bg-online.com.cn,30
dhdx-cw.bg-online.com.cn,109
dhdx-jst.bg-online.com.cn,7
dqst.bg-online.com.cn,870
dqstdq.bg-online.com.cn,1146
dqstwx.bg-online.com.cn,2577
dyjb.bg-online.com.cn,2549
ectai-platform.bg-online.com.cn,4383
ectai-service.bg-online.com.cn,50007
edi-gzkx.bg-online.com.cn,1
edi-hdsf.bg-online.com.cn,2
edi-lbjt.bg-online.com.cn,1
edi-szzt.bg-online.com.cn,2
fhsp.bg-online.com.cn,619
file-online-view.bg-online.com.cn,202
fillprod.bg-online.cn,14
gjdl.bg-online.com.cn,416
gmsd.bg-online.com.cn,1
gssj.bg-online.com.cn,8966
gzhd.bg-online.com.cn,91
gzkx-cw.bg-online.com.cn,29
gzkx-qm.bg-online.com.cn,322
gzkxplg.bg-online.com.cn,3
gzkxtest.bg-online.com.cn,969
gzyc.bg-online.com.cn,2684
gzyjl.bg-online.com.cn,266
gzyw.bg-online.com.cn,935
hblxs.bg-online.com.cn,10922
hbrw.bg-online.com.cn,11929
hdlg-wms.bg-online.com.cn,13733
hdsf.bg-online.com.cn,18458
hgd.bg-online.com.cn,1009
hgdls.bg-online.com.cn,358
hlcbs.bg-online.com.cn,23346
hnbc.bg-online.com.cn,2
hngxjy.bg-online.com.cn,8741
hnjtsd.bg-online.com.cn,2325
hnjw.bg-online.com.cn,3499
hnky.bg-online.com.cn,3
hnsr.bg-online.com.cn,4788
hnxh.bg-online.com.cn,2314
hssh.bg-online.com.cn,12
hzdg.bg-online.com.cn,3383
hzdsy.bg-online.com.cn,6025
hzjjsd.bg-online.com.cn,3055
hztj.bg-online.com.cn,734
hzwj.bg-online.com.cn,7723
hzxk.bg-online.com.cn,11089
hzxsj.bg-online.com.cn,9187
jlcq.bg-online.com.cn,13
jrcbs.bg-online.com.cn,3
kxcbs.bg-online.com.cn,1
lbcmsrs-jst.bg-online.com.cn,1
lbcmwys-pub-jst.bg-online.com.cn,1
lbjt.bg-online.com.cn,6222
lgsd.bg-online.com.cn,23180
ljhhby.bg-online.com.cn,2
lnhx.bg-online.com.cn,12179
njgt.bg-online.com.cn,390
njly.bg-online.com.cn,6283
njtly.bg-online.com.cn,692
nthw.bg-online.com.cn,33741
osmsserver-bf01.bg-online.cn,1
osmsserver-bf02.bg-online.cn,1
osmsserver-bf03.bg-online.cn,1
osmsserver-bj01.bg-online.cn,1
osmsserver-bj02.bg-online.cn,1
osmsserver-bj03.bg-online.cn,1
osmsserver-bj04.bg-online.cn,1
osmsserver-bj05.bg-online.cn,1
osmsserver-bj06.bg-online.cn,1
osmsserver-jgs.bg-online.cn,28
osmsserver-sd02.bg-online.cn,1
osmsserver-sd03.bg-online.cn,1
osmsserver-sh02.bg-online.cn,1
osmsserver-sh03.bg-online.cn,1
osmsserver-sh04.bg-online.cn,1
osmsserver-sh05.bg-online.cn,1
osmsserver-sh06.bg-online.cn,1
osmsserver-sh07.bg-online.cn,1
osmsserver-ws11.bg-online.cn,1
osmsserver-xn02.bg-online.cn,1
osmsserver-xn03.bg-online.cn,1
osmsserver-xn08.bg-online.cn,1
osmsserver-zcw01.bg-online.cn,1
osmsserver-zcw02.bg-online.cn,1
pdd.ecsponline.com,2032
pub-bjrdct.bg-online.com.cn,2
pub-dhdx-jst.bg-online.com.cn,7
puberp-pub.bg-online.com.cn,2
puberp-ws.bg-online.com.cn,1
pubgzkx.bg-online.com.cn,5113
pubgzkxtest.bg-online.com.cn,31
